Anode_Alloy,Anode_Table1_Group,Anode_Group_ID,Cathode_Alloy,Cathode_Table1_Group,Cathode_Group_ID,Potential_Difference_V,Environment,Electrolyte_Conductivity_Sm,Cathode_Anode_Area_Ratio,R_p_Anode_Ohm_m2,R_p_Cathode_Ohm_m2,Target_Galvanic_Current_Density,PDF_Compatibility_Status
18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.24,Rural (Freshwater),0.01,4.125,5.0,10.0,0.008222,Compatible
Nickel (active),"Nickel, Cobalt",16,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.31,Industrial (Acidic Rain),0.1,0.267,2.0,2.0,0.006154,Compatible
Silver solder,Silver,18,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.02,Industrial (Acidic Rain),0.1,8.707,10.0,1.0,0.008532,Compatible
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,0.3,Rural (Freshwater),0.01,2.59,5.0,1.0,0.00749,Unfavorable
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.4,Marine (Seawater),5.0,0.441,1.0,10.0,0.015679,Compatible
Cadmium,"Cadmium, Beryllium",3,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.52,Marine (Seawater),5.0,53.736,0.1,1.0,23.814537,Unfavorable
Inconel (active),"Nickel, Cobalt",16,Nickel (active),"Nickel, Cobalt",16,0.0,Industrial (Acidic Rain),0.1,1.215,2.0,2.0,0.0,Compatible
Silver solder,Silver,18,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.02,Industrial (Acidic Rain),0.1,1.298,10.0,1.0,0.001252,Compatible
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.08,Industrial (Acidic Rain),0.1,31.471,1.0,5.0,0.162769,Unfavorable
Inconel (active),"Nickel, Cobalt",16,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.2,Industrial (Acidic Rain),0.1,1.587,2.0,1.0,0.022955,Compatible
Silver solder,Silver,18,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.09,Marine (Seawater),5.0,2.794,10.0,5.0,0.015271,Compatible
Zinc,"Zinc, Zinc Coating",2,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.91,Rural (Freshwater),0.01,0.518,0.1,1.0,0.004507,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.51,Rural (Freshwater),0.01,0.312,0.1,1.0,0.001543,Unfavorable
Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.13,Rural (Freshwater),0.01,4.063,1.0,5.0,0.005309,Compatible
Copper,"Copper-High Nickel, Monel",15,Graphite,Graphite,20,0.33,Marine (Seawater),5.0,0.147,1.0,10.0,0.00455,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Nickel (active),"Nickel, Cobalt",16,0.34,Industrial (Acidic Rain),0.1,4.558,0.1,2.0,0.133217,Unfavorable
Zinc,"Zinc, Zinc Coating",2,"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,0.34,Industrial (Acidic Rain),0.1,1.816,0.1,0.1,0.060337,Compatible
Tin,"Tin, Tin-Lead, Indium",8,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.32,Rural (Freshwater),0.01,0.089,0.3,5.0,0.000271,Unfavorable
Lead,Lead,7,Nickel (active),"Nickel, Cobalt",16,0.12,Industrial (Acidic Rain),0.1,2.361,0.3,2.0,0.023467,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,0.14,Industrial (Acidic Rain),0.1,0.503,0.1,0.3,0.007072,Unfavorable
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.29,Industrial (Acidic Rain),0.1,0.447,2.0,2.0,0.009935,Compatible
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,0.4,Rural (Freshwater),0.01,0.539,0.1,2.0,0.002178,Unfavorable
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.49,Rural (Freshwater),0.01,0.336,5.0,2.0,0.001522,Unfavorable
Inconel (active),"Nickel, Cobalt",16,Silver solder,Silver,18,0.21,Rural (Freshwater),0.01,0.172,2.0,10.0,0.000317,Compatible
Inconel (active),"Nickel, Cobalt",16,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.3,Rural (Freshwater),0.01,1.638,2.0,5.0,0.00463,Unfavorable
Silver solder,Silver,18,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.1,Marine (Seawater),5.0,33.304,10.0,2.0,0.273488,Compatible
Chlorimet 2,"Nickel, Cobalt",16,Silver solder,Silver,18,0.14,Marine (Seawater),5.0,0.15,2.0,10.0,0.00159,Compatible
Zinc,"Zinc, Zinc Coating",2,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.86,Rural (Freshwater),0.01,1.544,0.1,1.0,0.013619,Unfavorable
Tin,"Tin, Tin-Lead, Indium",8,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.38,Industrial (Acidic Rain),0.1,1.285,0.3,2.0,0.040988,Unfavorable
Cadmium,"Cadmium, Beryllium",3,Tin,"Tin, Tin-Lead, Indium",8,0.28,Industrial (Acidic Rain),0.1,1.431,0.1,0.3,0.04223,Compatible
Lead-tin solders,"Tin, Tin-Lead, Indium",8,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.46,Rural (Freshwater),0.01,0.511,0.3,2.0,0.002107,Unfavorable
Cadmium,"Cadmium, Beryllium",3,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.66,Rural (Freshwater),0.01,1.157,0.1,2.0,0.007427,Unfavorable
Lead-tin solders,"Tin, Tin-Lead, Indium",8,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.45,Rural (Freshwater),0.01,2.64,0.3,5.0,0.011706,Unfavorable
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.53,Industrial (Acidic Rain),0.1,0.348,5.0,2.0,0.01154,Unfavorable
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Nickel (passive),"Nickel, Cobalt",16,0.41,Marine (Seawater),5.0,0.964,5.0,2.0,0.052461,Compatible
Magnesium and magnesium alloys,Magnesium,1,Gold,"Palladium, Rhodium, Gold, Platinum",19,1.76,Industrial (Acidic Rain),0.1,5.331,0.1,10.0,0.45593,Unfavorable
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.43,Industrial (Acidic Rain),0.1,7.068,5.0,5.0,0.154065,Compatible
Cadmium,"Cadmium, Beryllium",3,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.58,Industrial (Acidic Rain),0.1,6.49,0.1,1.0,0.337533,Unfavorable
Nickel (active),"Nickel, Cobalt",16,"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,0.02,Marine (Seawater),5.0,0.482,2.0,2.0,0.002295,Compatible
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.52,Marine (Seawater),5.0,0.299,0.1,1.0,0.125811,Unfavorable
Steel or iron,"Steels-Carbon, Low Alloy",6,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.57,Rural (Freshwater),0.01,7.511,0.3,2.0,0.041453,Unfavorable
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.51,Industrial (Acidic Rain),0.1,0.163,0.3,2.0,0.006772,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.83,Rural (Freshwater),0.01,6.641,0.3,10.0,0.04997,Unfavorable
"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,Titanium,Titanium,17,0.1,Industrial (Acidic Rain),0.1,1.262,2.0,10.0,0.005884,Compatible
Copper,"Copper-High Nickel, Monel",15,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.36,Rural (Freshwater),0.01,6.333,1.0,10.0,0.020939,Unfavorable
Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.05,Marine (Seawater),5.0,3.38,1.0,1.0,0.073744,Compatible
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.45,Industrial (Acidic Rain),0.1,0.182,0.3,5.0,0.005318,Compatible
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.4,Industrial (Acidic Rain),0.1,0.233,1.0,10.0,0.004377,Compatible
Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.19,Rural (Freshwater),0.01,0.252,1.0,2.0,0.000467,Compatible
Zinc,"Zinc, Zinc Coating",2,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.99,Marine (Seawater),5.0,0.764,0.1,2.0,0.287558,Unfavorable
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.49,Rural (Freshwater),0.01,1.312,5.0,2.0,0.006045,Unfavorable
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,Silver solder,Silver,18,0.04,Marine (Seawater),5.0,0.959,1.0,10.0,0.003192,Compatible
Nickel (active),"Nickel, Cobalt",16,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.31,Marine (Seawater),5.0,21.863,2.0,2.0,1.600648,Compatible
Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.05,Rural (Freshwater),0.01,0.48,5.0,5.0,0.000224,Compatible
Magnesium and magnesium alloys,Magnesium,1,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,1.52,Marine (Seawater),5.0,1.847,0.1,5.0,0.490591,Unfavorable
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.55,Marine (Seawater),5.0,0.465,2.0,10.0,0.019576,Compatible
"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.02,Marine (Seawater),5.0,0.65,1.0,1.0,0.00604,Compatible
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Nickel (passive),"Nickel, Cobalt",16,0.45,Marine (Seawater),5.0,0.241,5.0,2.0,0.014847,Unfavorable
Chlorimet 2,"Nickel, Cobalt",16,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.2,Rural (Freshwater),0.01,1.617,2.0,5.0,0.003153,Compatible
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.15,Marine (Seawater),5.0,0.429,2.0,1.0,0.018965,Compatible
"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,Silver,Silver,18,0.08,Marine (Seawater),5.0,0.588,2.0,10.0,0.00409,Compatible
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Nickel (active),"Nickel, Cobalt",16,0.18,Marine (Seawater),5.0,1.889,5.0,2.0,0.050386,Compatible
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.69,Marine (Seawater),5.0,0.048,0.1,2.0,0.013964,Unfavorable
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.45,Marine (Seawater),5.0,1.144,5.0,5.0,0.052293,Compatible
Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.06,Industrial (Acidic Rain),0.1,0.619,5.0,2.0,0.002403,Unfavorable
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.38,Industrial (Acidic Rain),0.1,0.304,0.3,1.0,0.010198,Unfavorable
"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,Silver,Silver,18,0.21,Rural (Freshwater),0.01,0.466,1.0,10.0,0.00088,Compatible
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Chlorimet 2,"Nickel, Cobalt",16,0.29,Industrial (Acidic Rain),0.1,3.225,5.0,2.0,0.0585,Unfavorable
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Tin,"Tin, Tin-Lead, Indium",8,0.11,Marine (Seawater),5.0,4.935,5.0,0.3,0.101463,Compatible
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Inconel (active),"Nickel, Cobalt",16,0.22,Rural (Freshwater),0.01,2.894,5.0,2.0,0.005548,Compatible
Cast iron,"Steels-Carbon, Low Alloy",6,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.56,Rural (Freshwater),0.01,0.849,0.3,5.0,0.004406,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,0.12,Marine (Seawater),5.0,3.314,0.1,5.0,0.077038,Unfavorable
Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.11,Marine (Seawater),5.0,0.998,1.0,1.0,0.051515,Compatible
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Silver solder,Silver,18,0.41,Rural (Freshwater),0.01,0.776,0.3,10.0,0.002833,Unfavorable
Steel or iron,"Steels-Carbon, Low Alloy",6,Cast iron,"Steels-Carbon, Low Alloy",6,0.0,Marine (Seawater),5.0,1.262,0.3,0.3,0.0,Compatible
Zinc,"Zinc, Zinc Coating",2,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.86,Industrial (Acidic Rain),0.1,0.228,0.1,1.0,0.018238,Unfavorable
Nickel (active),"Nickel, Cobalt",16,Titanium,Titanium,17,0.41,Industrial (Acidic Rain),0.1,0.732,2.0,10.0,0.012944,Compatible
Lead-tin solders,"Tin, Tin-Lead, Indium",8,Tin,"Tin, Tin-Lead, Indium",8,0.08,Marine (Seawater),5.0,1.218,0.3,0.3,0.111554,Compatible
Magnesium and magnesium alloys,Magnesium,1,Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,0.87,Rural (Freshwater),0.01,2.625,0.1,0.1,0.022523,Unfavorable
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Steel or iron,"Steels-Carbon, Low Alloy",6,0.12,Rural (Freshwater),0.01,0.337,0.1,0.3,0.000424,Compatible
Lead-tin solders,"Tin, Tin-Lead, Indium",8,Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,0.27,Industrial (Acidic Rain),0.1,1.479,0.3,1.0,0.036821,Unfavorable
Copper,"Copper-High Nickel, Monel",15,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.36,Industrial (Acidic Rain),0.1,4.978,1.0,10.0,0.077384,Compatible
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.25,Rural (Freshwater),0.01,0.193,2.0,5.0,0.000486,Compatible
18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Graphite,Graphite,20,0.18,Rural (Freshwater),0.01,0.057,5.0,10.0,9.9e-05,Compatible
Cadmium,"Cadmium, Beryllium",3,"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,0.01,Rural (Freshwater),0.01,4.068,0.1,0.1,0.000396,Compatible
Zinc,"Zinc, Zinc Coating",2,Chlorimet 2,"Nickel, Cobalt",16,0.75,Rural (Freshwater),0.01,10.138,0.1,2.0,0.080851,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.49,Marine (Seawater),5.0,2.7,0.3,1.0,0.849821,Unfavorable
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Chlorimet 2,"Nickel, Cobalt",16,0.29,Rural (Freshwater),0.01,1.065,5.0,2.0,0.002742,Unfavorable
Tin,"Tin, Tin-Lead, Indium",8,"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,0.09,Marine (Seawater),5.0,135.799,0.3,2.0,4.631886,Unfavorable
Cadmium,"Cadmium, Beryllium",3,Chlorimet 2,"Nickel, Cobalt",16,0.42,Industrial (Acidic Rain),0.1,0.61,0.1,2.0,0.021667,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Graphite,Graphite,20,0.82,Industrial (Acidic Rain),0.1,1.238,0.1,10.0,0.052271,Unfavorable
Tin,"Tin, Tin-Lead, Indium",8,"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,0.09,Rural (Freshwater),0.01,5.001,0.3,2.0,0.004151,Compatible
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,Titanium,Titanium,17,0.24,Industrial (Acidic Rain),0.1,1.484,1.0,10.0,0.017301,Compatible
Nickel (active),"Nickel, Cobalt",16,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.17,Marine (Seawater),5.0,9.615,2.0,1.0,0.507497,Compatible
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Titanium,Titanium,17,0.61,Rural (Freshwater),0.01,1.49,0.3,10.0,0.007731,Unfavorable
"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.34,Marine (Seawater),5.0,1.47,1.0,10.0,0.04374,Compatible
Magnesium and magnesium alloys,Magnesium,1,Cadmium,"Cadmium, Beryllium",3,0.9,Rural (Freshwater),0.01,4.082,0.1,0.1,0.039458,Unfavorable
Zinc,"Zinc, Zinc Coating",2,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.93,Marine (Seawater),5.0,38.239,0.1,5.0,6.980911,Unfavorable
Chlorimet 2,"Nickel, Cobalt",16,Nickel (passive),"Nickel, Cobalt",16,0.16,Rural (Freshwater),0.01,0.228,2.0,2.0,0.00034,Compatible
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Chlorimet 2,"Nickel, Cobalt",16,0.27,Marine (Seawater),5.0,0.821,0.3,2.0,0.08218,Unfavorable
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Copper,"Copper-High Nickel, Monel",15,0.33,Industrial (Acidic Rain),0.1,0.92,5.0,1.0,0.018664,Compatible
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Chlorimet 2,"Nickel, Cobalt",16,0.41,Marine (Seawater),5.0,0.232,0.1,2.0,0.041418,Unfavorable
"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.08,Marine (Seawater),5.0,3.34,1.0,2.0,0.084522,Compatible
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Chlorimet 2,"Nickel, Cobalt",16,0.25,Marine (Seawater),5.0,0.345,5.0,2.0,0.012709,Compatible
Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.15,Industrial (Acidic Rain),0.1,0.259,1.0,5.0,0.002571,Compatible
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.35,Industrial (Acidic Rain),0.1,3.556,5.0,1.0,0.07646,Compatible
Lead,Lead,7,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.63,Industrial (Acidic Rain),0.1,0.794,0.3,10.0,0.024142,Unfavorable
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.14,Marine (Seawater),5.0,0.429,1.0,2.0,0.019158,Compatible
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.69,Rural (Freshwater),0.01,8.673,0.1,2.0,0.059358,Unfavorable
"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,Graphite,Graphite,20,0.17,Rural (Freshwater),0.01,2.549,2.0,10.0,0.00387,Compatible
Nickel (active),"Nickel, Cobalt",16,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.25,Marine (Seawater),5.0,2.826,2.0,5.0,0.098074,Unfavorable
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.02,Industrial (Acidic Rain),0.1,1.754,0.3,5.0,0.002298,Unfavorable
Copper,"Copper-High Nickel, Monel",15,Titanium,Titanium,17,0.26,Rural (Freshwater),0.01,1.672,1.0,10.0,0.003519,Unfavorable
Copper,"Copper-High Nickel, Monel",15,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.16,Rural (Freshwater),0.01,4.093,1.0,2.0,0.006159,Compatible
Zinc,"Zinc, Zinc Coating",2,Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,0.3,Marine (Seawater),5.0,0.167,0.1,0.1,0.119495,Compatible
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.79,Rural (Freshwater),0.01,0.423,5.0,10.0,0.003027,Unfavorable
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,Nickel (passive),"Nickel, Cobalt",16,0.21,Rural (Freshwater),0.01,0.198,2.0,2.0,0.000401,Compatible
Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,Silver,Silver,18,0.14,Rural (Freshwater),0.01,0.286,5.0,10.0,0.000349,Compatible
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.89,Rural (Freshwater),0.01,0.421,0.1,10.0,0.003524,Unfavorable
Lead,Lead,7,Tin,"Tin, Tin-Lead, Indium",8,0.05,Marine (Seawater),5.0,3.038,0.3,0.3,0.195621,Compatible
Lead-tin solders,"Tin, Tin-Lead, Indium",8,Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,0.27,Industrial (Acidic Rain),0.1,1.366,0.3,1.0,0.033769,Unfavorable
Zinc,"Zinc, Zinc Coating",2,Chlorimet 2,"Nickel, Cobalt",16,0.75,Rural (Freshwater),0.01,6.448,0.1,2.0,0.047212,Unfavorable
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.69,Rural (Freshwater),0.01,2.973,5.0,10.0,0.018892,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.77,Rural (Freshwater),0.01,0.187,0.3,10.0,0.001438,Unfavorable
Inconel (active),"Nickel, Cobalt",16,Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,0.12,Industrial (Acidic Rain),0.1,2.815,2.0,1.0,0.027766,Compatible
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.14,Rural (Freshwater),0.01,0.244,1.0,2.0,0.000368,Compatible
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.35,Rural (Freshwater),0.01,0.25,5.0,1.0,0.00081,Unfavorable
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Copper,"Copper-High Nickel, Monel",15,0.37,Rural (Freshwater),0.01,0.117,5.0,1.0,0.000412,Unfavorable
Steel or iron,"Steels-Carbon, Low Alloy",6,Silver solder,Silver,18,0.47,Industrial (Acidic Rain),0.1,0.268,0.3,10.0,0.006301,Unfavorable
